Year,Lake,DOYtrunc,BGA_YSI,BGA_HYLB,BGA_logged_YSI,BGA_logged_HYLB,DO_YSI,DO_HYLB,DOsat_calc_YSI,DOsat_calc_HYLB,PH_YSI,PH_HYLB,Temp_YSI,Temp_HYLB,Manual_Chl
2013,L,171,NA,116.7951389,NA,2.056103091,8.126111111,8.083055556,96.02301086,95.62433679,5.882430556,6.399655728,21.11354167,21.18815972,1.586688052
2013,L,172,NA,138.9349318,NA,2.126942081,7.953715278,7.939340278,92.97217426,92.95477288,5.852986111,6.382989062,20.42670139,20.52791667,2.871125186
2013,L,173,NA,129.3297908,NA,2.101293158,7.806354167,7.801423611,90.79077102,90.85129517,5.825902778,6.329898784,20.11479167,20.19451389,2.449375711
2013,L,174,NA,143.2121145,NA,2.101965661,7.926458333,7.898819444,93.65453331,93.33342285,5.788125,6.355523784,21.11309028,21.1165625,1.73244182
2013,L,175,NA,117.1736871,NA,2.053653278,7.771192245,7.770243056,94.09009717,94.0187988,5.708432637,6.345593228,22.76404777,22.72004689,1.787652452
2013,L,176,NA,106.5868056,NA,2.017694223,7.531354167,7.551805556,93.36207228,93.41670562,5.675729167,6.318822395,24.50381944,24.33371528,2.285122646
2013,L,177,NA,110.9234037,NA,2.034779451,7.351041667,7.3315625,92.3604666,92.00195275,5.621180556,6.29889562,25.55517361,25.45909722,1.260020362
2013,L,178,NA,119.6263426,NA,2.05968429,7.0628125,7.047013889,88.35882467,88.22226934,5.628819444,6.299308506,25.23199492,25.25572917,1.630982949
2013,L,179,NA,137.8557532,NA,2.120546225,7.203055556,7.21625,88.82135157,89.08668367,5.669513889,6.317398784,24.08357639,24.16979167,2.282077731
2013,L,180,NA,152.9953491,NA,2.16642731,7.375972222,7.373194444,89.25515474,89.33864753,5.728263889,6.321322395,22.70815972,22.80059028,2.354753536
2013,L,181,NA,156.0482919,NA,2.165987755,7.566354167,7.561597222,91.07581299,91.00613642,5.804166667,6.342086284,22.37517747,22.33184028,1.67682903
2013,L,182,NA,146.7180867,NA,2.141858706,7.689861111,7.717130125,93.47207091,93.7897621,5.805416667,6.381542995,23.04710608,23.02330747,1.717274696
2013,L,183,NA,138.5232884,NA,2.125005411,7.547847222,7.624513889,91.8854544,92.76483223,5.806041667,6.35562795,23.14,23.09347222,2.35211078
